Date,Gasolin
1989-01-01,79.4
1989-02-01,80.1
1989-03-01,81.3
1989-04-01,92.1
1989-05-01,96.7
1989-06-01,96.2
1989-07-01,94.6
1989-08-01,91.1
1989-09-01,88.8
1989-10-01,88.8
1989-11-01,87
1989-12-01,85.5
1990-01-01,90.6
1990-02-01,90.2
1990-03-01,89.1
1990-04-01,91
1990-05-01,92.4
1990-06-01,94.6
1990-07-01,94.4
1990-08-01,103.1
1990-09-01,111.8
1990-10-01,118.7
1990-11-01,118.8
1990-12-01,117
1991-01-01,108
1991-02-01,99.3
1991-03-01,94.2
1991-04-01,95.9
1991-05-01,100.2
1991-06-01,100.6
1991-07-01,98.2
1991-08-01,99.3
1991-09-01,99.8
1991-10-01,98.2
1991-11-01,99.1
1991-12-01,98.1
1992-01-01,94.3
1992-02-01,92.7
1992-03-01,93.2
1992-04-01,94.8
1992-05-01,99.4
1992-06-01,103
1992-07-01,102.9
1992-08-01,101.8
1992-09-01,101.8
1992-10-01,101.5
1992-11-01,102.2
1992-12-01,100.1
1993-01-01,98.5
1993-02-01,97.8
1993-03-01,97.1
1993-04-01,98.2
1993-05-01,99.6
1993-06-01,99.6
1993-07-01,98
1993-08-01,96.9
1993-09-01,95.9
1993-10-01,99.2
1993-11-01,97.8
1993-12-01,94.2
1994-01-01,92.1
1994-02-01,93
1994-03-01,92.7
1994-04-01,94.3
1994-05-01,95.6
1994-06-01,97.9
1994-07-01,100.4
1994-08-01,104.1
1994-09-01,103.6
1994-10-01,101.7
1994-11-01,102.6
1994-12-01,100.2
1995-01-01,98.4
1995-02-01,97.7
1995-03-01,97.2
1995-04-01,99.3
1995-05-01,104.2
1995-06-01,106.3
1995-07-01,103.7
1995-08-01,101
1995-09-01,99.7
1995-10-01,98
1995-11-01,96
1995-12-01,96
1996-01-01,98.2
1996-02-01,97.8
1996-03-01,101.1
1996-04-01,108.2
1996-05-01,113.3
1996-06-01,111
1996-07-01,108.8
1996-08-01,106.1
1996-09-01,105.7
1996-10-01,105.2
1996-11-01,107.1
1996-12-01,107.9
1997-01-01,107.9
1997-02-01,107.4
1997-03-01,105.8
1997-04-01,105.4
1997-05-01,105.2
1997-06-01,105.4
1997-07-01,103.5
1997-08-01,107.4
1997-09-01,109.2
1997-10-01,106.5
1997-11-01,104.1
1997-12-01,101.3
1998-01-01,97.2
1998-02-01,93.5
1998-03-01,90.3
1998-04-01,91.1
1998-05-01,94.2
1998-06-01,94.3
1998-07-01,93.2
1998-08-01,91.1
1998-09-01,89.5
1998-10-01,90.3
1998-11-01,89.2
1998-12-01,85.7
1999-01-01,84.5
1999-02-01,83.1
1999-03-01,85.8
1999-04-01,100.4
1999-05-01,100.8
1999-06-01,98.6
1999-07-01,101.9
1999-08-01,107.2
1999-09-01,109.7
1999-10-01,109.4
1999-11-01,108.7
1999-12-01,111.5
2000-01-01,111.9
2000-02-01,117.3
2000-03-01,130.9
2000-04-01,127.9
2000-05-01,127.6
2000-06-01,138.3
2000-07-01,135.4
2000-08-01,127.7
2000-09-01,134.3
2000-10-01,132.3
2000-11-01,132.2
2000-12-01,127
