Date,JetFuel
01-01-1989,57
01-02-1989,57.4
01-03-1989,58.1
01-04-1989,60.5
01-05-1989,60.4
01-06-1989,56.4
01-07-1989,55.7
01-08-1989,55.8
01-09-1989,59.6
01-10-1989,63.1
01-11-1989,66.3
01-12-1989,66.3
01-01-1990,79.8
01-02-1990,72.1
01-03-1990,64
01-04-1990,62.9
01-05-1990,60.3
01-06-1990,56.5
01-07-1990,55.4
01-08-1990,65.1
01-09-1990,88.7
01-10-1990,114
01-11-1990,113
01-12-1990,97.5
01-01-1991,84.6
01-02-1991,76.5
01-03-1991,64.7
01-04-1991,58.8
01-05-1991,60.8
01-06-1991,61.6
01-07-1991,59.5
01-08-1991,62.8
01-09-1991,68.1
01-10-1991,67.2
01-11-1991,70.7
01-12-1991,65.3
01-01-1992,54.7
01-02-1992,60.2
01-03-1992,56.2
01-04-1992,57.1
01-05-1992,61.5
01-06-1992,64.7
01-07-1992,68.4
01-08-1992,65.9
01-09-1992,65.7
01-10-1992,67.4
01-11-1992,64.2
01-12-1992,60.2
01-01-1993,60.1
01-02-1993,61.4
01-03-1993,62.5
01-04-1993,60.9
01-05-1993,61.4
01-06-1993,60.1
01-07-1993,57.5
01-08-1993,55.2
01-09-1993,57.3
01-10-1993,61.8
01-11-1993,62.5
01-12-1993,53.9
01-01-1994,50
01-02-1994,55.3
01-03-1994,51.6
01-04-1994,50.7
01-05-1994,51.6
01-06-1994,52
01-07-1994,53.9
01-08-1994,56.1
01-09-1994,54.9
01-10-1994,55.3
01-11-1994,58
01-12-1994,55.8
01-01-1995,53
01-02-1995,53.3
01-03-1995,52
01-04-1995,53.7
01-05-1995,55.9
01-06-1995,53.8
01-07-1995,53.3
01-08-1995,53.8
01-09-1995,56.2
01-10-1995,56.8
01-11-1995,59.2
01-12-1995,60.5
01-01-1996,63.6
01-02-1996,57.2
01-03-1996,59.3
01-04-1996,67.3
01-05-1996,70.7
01-06-1996,63.3
01-07-1996,62.7
01-08-1996,67
01-09-1996,74
01-10-1996,76.9
01-11-1996,73.4
01-12-1996,76.1
01-01-1997,76.4
01-02-1997,76.6
01-03-1997,68.3
01-04-1997,62.1
01-05-1997,59.4
01-06-1997,60.5
01-07-1997,58.2
01-08-1997,60.2
01-09-1997,59.2
01-10-1997,62.5
01-11-1997,65.1
01-12-1997,59.7
01-01-1998,55.7
01-02-1998,52.8
01-03-1998,47.7
01-04-1998,48
01-05-1998,48.4
01-06-1998,43.3
01-07-1998,43.2
01-08-1998,44.5
01-09-1998,44
01-10-1998,47.9
01-11-1998,46.7
01-12-1998,37.9
01-01-1999,37.7
01-02-1999,37.4
01-03-1999,37.9
01-04-1999,49.7
01-05-1999,49.2
01-06-1999,49.4
01-07-1999,52.4
01-08-1999,58.6
01-09-1999,64.3
01-10-1999,64.4
01-11-1999,65.7
01-12-1999,71.9
01-01-2000,76.5
01-02-2000,82.3
01-03-2000,84.4
01-04-2000,81.9
01-05-2000,77.3
01-06-2000,79.4
01-07-2000,83.9
01-08-2000,86.3
01-09-2000,104
01-10-2000,105.3
01-11-2000,105.6
01-12-2000,102.7
01-01-2001,88.2
01-02-2001,87
01-03-2001,82.8
01-04-2001,79.7
01-05-2001,83.8
01-06-2001,83.5
01-07-2001,78.8
01-08-2001,76.9
01-09-2001,83
01-10-2001,69.3
01-11-2001,65.3
01-12-2001,57.1
01-01-2002,61.3
01-02-2002,58.9
01-03-2002,61.6
01-04-2002,70.9
01-05-2002,70.4
01-06-2002,68.3
01-07-2002,72.1
01-08-2002,73.1
01-09-2002,82.3
01-10-2002,87.8
01-11-2002,80.4
01-12-2002,79.2
01-01-2003,97.7
01-02-2003,106
01-03-2003,118.7
01-04-2003,83.8
01-05-2003,76.1
01-06-2003,81.1
01-07-2003,80.6
01-08-2003,81.5
01-09-2003,75.2
01-10-2003,78.3
01-11-2003,77.9
01-12-2003,87.2
01-01-2004,98
01-02-2004,96.2
01-03-2004,95
01-04-2004,94.2
01-05-2004,108.4
01-06-2004,97.1
01-07-2004,112.6
01-08-2004,129.6
01-09-2004,122.1
01-10-2004,139.3
01-11-2004,142.6
01-12-2004,127
01-01-2005,129.6
01-02-2005,134
01-03-2005,145.5
01-04-2005,167.7
01-05-2005,145.1
01-06-2005,151.7
01-07-2005,169.6
01-08-2005,172.9
01-09-2005,207.3
01-10-2005,260.4
01-11-2005,187.4
01-12-2005,179.5
01-01-2006,187.3
01-02-2006,186.9
01-03-2006,182.3
01-04-2006,214.9
01-05-2006,220.5
01-06-2006,221.5
01-07-2006,212.4
01-08-2006,228.4
01-09-2006,204.8
01-10-2006,186.4
01-11-2006,171
01-12-2006,191.4
01-01-2007,175.4
01-02-2007,174.2
01-03-2007,194.6
01-04-2007,209.5
01-05-2007,207.4
01-06-2007,203.4
01-07-2007,221.5
01-08-2007,218.5
01-09-2007,219.2
01-10-2007,212.1
01-11-2007,248.1
01-12-2007,270.4
01-01-2008,271.7
01-02-2008,259.8
01-03-2008,305.5
01-04-2008,325.4
01-05-2008,356.6
01-06-2008,383.1
01-07-2008,413.4
01-08-2008,317.6
01-09-2008,336.3
01-10-2008,269.1
01-11-2008,225.2
01-12-2008,164.6
01-01-2009,149.7
01-02-2009,142.1
01-03-2009,124
01-04-2009,138
01-05-2009,143.8
01-06-2009,174.2
01-07-2009,179.4
01-08-2009,201.3
01-09-2009,188.6
01-10-2009,189.6
01-11-2009,209.8
01-12-2009,206.9
01-01-2010,220.6
01-02-2010,210.9
01-03-2010,217.3
01-04-2010,237.9
01-05-2010,233
01-06-2010,218.1
01-07-2010,216.4
01-08-2010,215
01-09-2010,220.9
01-10-2010,237
01-11-2010,243.6
01-12-2010,255.8
01-01-2011,264.5
01-02-2011,276.3
01-03-2011,311.6
01-04-2011,322.6
01-05-2011,337.3
01-06-2011,321
01-07-2011,320.9
01-08-2011,315.2
01-09-2011,312.2
01-10-2011,298
01-11-2011,325
01-12-2011,310.9
01-01-2012,320.5
01-02-2012,328.4
01-03-2012,337
01-04-2012,332.9
01-05-2012,315.1
01-06-2012,285.7
01-07-2012,282.8
01-08-2012,309
01-09-2012,334.5
01-10-2012,328.7
01-11-2012,305.7
01-12-2012,294.1
01-01-2013,314
01-02-2013,333.5
01-03-2013,307.1
01-04-2013,301.1
01-05-2013,277.4
01-06-2013,278.9
01-07-2013,283.8
01-08-2013,298.3
01-09-2013,303.3
01-10-2013,296.5
01-11-2013,282.4
01-12-2013,296.6
01-01-2014,300.2
01-02-2014,300.3
01-03-2014,295.6
01-04-2014,298
01-05-2014,299.5
01-06-2014,291.5
01-07-2014,287.5
01-08-2014,297.2
01-09-2014,296.6
01-10-2014,270.2
01-11-2014,252.9
01-12-2014,224.3
01-01-2015,180.9
01-02-2015,171.8
01-03-2015,186
01-04-2015,172.1
01-05-2015,206.8
01-06-2015,197
01-07-2015,187.6
01-08-2015,165.3
01-09-2015,161
01-10-2015,152.7
01-11-2015,154.4
01-12-2015,135.9
01-01-2016,113.6
01-02-2016,105.7
01-03-2016,114.4
01-04-2016,114.2
01-05-2016,134.4
01-06-2016,151.2
01-07-2016,152.3
01-08-2016,133.7
01-09-2016,145.5
01-10-2016,151.5
01-11-2016,152.6
01-12-2016,155.9
01-01-2017,165.5
01-02-2017,167.2
01-03-2017,168.2
01-04-2017,161.2
01-05-2017,156.1
01-06-2017,150.7
01-07-2017,148.4
01-08-2017,165.7
01-09-2017,182.9
01-10-2017,185.1
01-11-2017,185
01-12-2017,194.6
01-01-2018,205.4
01-02-2018,213.8
01-03-2018,202.5
01-04-2018,209.8
01-05-2018,236.1
01-06-2018,234.6
01-07-2018,229.4
01-08-2018,229.2
01-09-2018,235.2
01-10-2018,244.3
01-11-2018,236.2
01-12-2018,199.7
01-01-2019,184.3
01-02-2019,200.4
01-03-2019,209.6
01-04-2019,211.7
01-05-2019,218.3
01-06-2019,207.2
01-07-2019,200.8
01-08-2019,203.2
01-09-2019,199.2
01-10-2019,205.4
