Date,Kerosene
1989-01-01,0.631
1989-02-01,0.595
1989-03-01,0.613
1989-04-01,0.603
1989-05-01,0.559
1989-06-01,0.538
1989-07-01,0.57
1989-08-01,0.599
1989-09-01,0.636
1989-10-01,0.675
1989-11-01,0.685
1989-12-01,0.817
1990-01-01,0.871
1990-02-01,0.679
1990-03-01,0.648
1990-04-01,0.624
1990-05-01,0.592
1990-06-01,0.539
1990-07-01,0.571
1990-08-01,0.807
1990-09-01,1.004
1990-10-01,1.157
1990-11-01,1.066
1990-12-01,0.926
1991-01-01,0.88
1991-02-01,0.761
1991-03-01,0.662
1991-04-01,0.63
1991-05-01,0.614
1991-06-01,0.59
1991-07-01,0.626
1991-08-01,0.671
1991-09-01,0.689
1991-10-01,0.735
1991-11-01,0.746
1991-12-01,0.626
1992-01-01,0.599
1992-02-01,0.62
1992-03-01,0.591
1992-04-01,0.616
1992-05-01,0.621
1992-06-01,0.637
1992-07-01,0.657
1992-08-01,0.642
1992-09-01,0.688
1992-10-01,0.701
1992-11-01,0.645
1992-12-01,0.628
1993-01-01,0.614
1993-02-01,0.637
1993-03-01,0.654
1993-04-01,0.608
1993-05-01,0.583
1993-06-01,0.569
1993-07-01,0.536
1993-08-01,0.556
1993-09-01,0.587
1993-10-01,0.655
1993-11-01,0.624
1993-12-01,0.536
1994-01-01,0.657
1994-02-01,0.735
1994-03-01,0.599
1994-04-01,0.551
1994-05-01,0.532
1994-06-01,0.539
1994-07-01,0.551
1994-08-01,0.551
1994-09-01,0.553
1994-10-01,0.591
1994-11-01,0.607
1994-12-01,0.574
1995-01-01,0.566
1995-02-01,0.552
1995-03-01,0.528
1995-04-01,0.56
1995-05-01,0.577
1995-06-01,0.532
1995-07-01,0.523
1995-08-01,0.549
1995-09-01,0.58
1995-10-01,0.57
1995-11-01,0.605
1995-12-01,0.64
1996-01-01,0.658
1996-02-01,0.657
1996-03-01,0.68
1996-04-01,0.751
1996-05-01,0.661
1996-06-01,0.598
1996-07-01,0.617
1996-08-01,0.666
1996-09-01,0.756
1996-10-01,0.807
1996-11-01,0.797
1996-12-01,0.79
1997-01-01,0.777
1997-02-01,0.739
1997-03-01,0.635
